key,name,stFipsOrRecipientId,profileType,link
UT,Utah,49,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/utah-legal-services-inc-program-profile
UT-1,"Utah Legal Services, Inc.",745000,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/utah-legal-services-inc-program-profile
VA,Virginia,51,state,https://www.lsc.gov/grants-grantee-resources/our-grantees/virginia-state-profile
VA-15,"Southwest Virginia Legal Aid Society, Inc.",447020,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/southwest-virginia-legal-aid-society-inc-program-profile
VA-16,Legal Aid Society of Eastern Virginia,447026,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/legal-aid-society-eastern-virginia-program-profile
VA-17,"Virginia Legal Aid Society, Inc.",447061,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/virginia-legal-aid-society-inc-program-profile
VA-18,"Central Virginia Legal Aid Society, Inc.",447030,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/central-virginia-legal-aid-society-inc-program-profile
VA-19,"Blue Ridge Legal Services, Inc.",447081,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/blue-ridge-legal-services-inc-program-profile
VA-20,"Legal Services of Northern Virginia, Inc.",447007,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/legal-services-northern-virginia-inc-program-profile
VI,Virgin Islands,78,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/legal-services-virgin-islands-inc-program-profile
VI-1,"Legal Services of the Virgin Islands, Inc.",254000,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/legal-services-virgin-islands-inc-program-profile
VT,Vermont,50,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/legal-services-law-line-vermont-inc-program-profile
VT-1,Legal Services Vermont,146010,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/legal-services-law-line-vermont-inc-program-profile
WA,Washington,53,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/northwest-justice-project-program-profile
WA-1,Northwest Justice Project,948010,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/northwest-justice-project-program-profile
WI,Wisconsin,55,state,https://www.lsc.gov/grants-grantee-resources/our-grantees/wisconsin-state-profile
WI-2,"Wisconsin Judicare, Inc.",550020,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/wisconsin-judicare-inc-program-profile
WI-5,"Legal Action of Wisconsin, Inc.",550010,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/legal-action-wisconsin-inc-program-profile
WV,West Virginia,54,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/legal-aid-west-virginia-inc-program-profile
WV-5,"Legal Aid of West Virginia, Inc.",449041,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/legal-aid-west-virginia-inc-program-profile
WY,Wyoming,56,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/legal-aid-wyoming-inc-program-profile
WY-4,"Legal Aid of Wyoming, Inc.",951050,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/legal-aid-wyoming-inc-program-profile
